PRÉ CONGRESSO ENDOGINECO 2026 ,,
Horário ,"Quinta-feira, 27/08/2026",Palestrante 
,,
12:30,Credenciamento cursos Pré Congresso ,
13:00-13:15 ,Abertura ,
13:30 - 17:30,"AUDITÓRIO B  - Curso Nutrição para pacientes com Endometriose 
Coordenação:  Rosaura Santos - PE ",,
13:30 - 13:40,"Abertura e apresentação - Panorama da endometriose e impacto nutricional.
Moderadora: Nut Rosaura",,
13:40 - 14:20,AULA 1,Nut. Natalia Fernandes,
,Evidências sobre dieta anti-inflamatória e sintomas.,,
,Discussão de casos clínicos: pacientes com dor pélvica e alterações alimentares.,,
14:20 - 15:00,AULA 2,Nut. Gil Barbieri,
,Ambiente Metabólico e Sucesso Reprodutivo,,
,"Relação entre resistência insulínica, obesidade e fertilidade.",,
,Estratégias nutricionais para otimizar ambiente metabólico.,,
,Casos clínicos: infertilidade associada a síndrome metabólica.,,
15:00 às 15:40,AULA 3,Nut. Adriana Soares,
,Nutrição Modulando a Inflamação,,
,Nutrientes e compostos bioativos com ação anti-inflamatória.,,
,"Papel dos ácidos graxos ômega-3, antioxidantes e fibras.",,
,Casos clínicos: pacientes com endometriose e inflamação sistêmica.,,
15:40 - 16:00,COFFEE BREAK,,
16:00 às 16:30,AULA 4,Nutr. Nara  Parente,
,Protocolo Nutricional Perioperatório,,
,Preparação nutricional para cirurgia de endometriose.,,
,Estratégias para reduzir complicações e acelerar recuperação.,,
,Caso clínico: pacientes em pré e pós-operatório.,,
16:30 - 17:00,AULA 5,Nut. Lais Sousa,
,Dores Pélvicas e Abordagem Nutricional,,
,Relação entre dor crônica e dieta.,,
,Intervenções nutricionais para melhora da qualidade de vida.,,
,Casos clínico: pacientes com dor pélvica refratária.,,
17:00 - 17:30,AULA 6,Farmacêutica : Catarina( Roval) ,
,Suplementação Farmacoterápica nas Diferentes Fases da Endometriose,,
,"Suplementos com evidência científica (vitamina D, antioxidantes, probióticos).",,
,Ajustes conforme fase da doença e tratamento médico.,,
,Prática: Elaborando uma prescrição assertiva,,
