PRÉ CONGRESSO ENDOGINECO 2026 ,,,,,,,,,,,,,,,,,,,,,,,,
Horário ,"Quinta-feira, 27/08/2026",Palestrante ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
12:00,Credenciamento cursos Pré Congresso ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
12:00 - 19:00,"FOYER - Curso de Sutura Dry Lab em sutura Endoscópica 
Coordenação: Guilherme Zanluchi - SP",,,,,,,,,,,,,,,,,,,,,,,
12:00 - 12:30,Regras básicas de posição de agulha e fio - Nomenclatura e sistematização de agulha,Helena Nagy,,,,,,,,,,,,,,,,,,,,,,
12:30 - 13:00,Teoria do Ponto perfeito e passagem de agulha,Sidraiton Melo ,,,,,,,,,,,,,,,,,,,,,,
13:00 - 13:30,Aplicação prática de sutura em videos: Fechamento de cúpula vaginal e miomectomias,Guilherme Zanluchi - SP ,,,,,,,,,,,,,,,,,,,,,,
"13:30 - 15:15
(01 hora e 
45 minutos) ","Estação prática
Monitores: ",,,,,,,,,,,,,,,,,,,,,,,
13:30 - 14:05,Sistematização de 1 grau e acordar as mãos,,,,,,,,,,,,,,,,,,,,,,,
14:05 - 14:40,Sistematizaçoes e Cruz de verificaçao,,,,,,,,,,,,,,,,,,,,,,,
14:40 - 15:15,O Ponto Perfeito,,,,,,,,,,,,,,,,,,,,,,,
15:15 - 15:45,COFFEE BREAK,,,,,,,,,,,,,,,,,,,,,,,
15:45 - 16:15,Teoria dos nós: Nó quadrado e semi-chaves,Lilia Mendes - CE ,,,,,,,,,,,,,,,,,,,,,,
16:15 - 16:45,Segurança dos nós ,Sidraiton Melo ,,,,,,,,,,,,,,,,,,,,,,
16:45 - 17:15,"Os nós da minha preferência - Aplicação dos nós em cada tipo de tecido e cirurgia
(Triplo / Duplo) ",Guilherme Zanluchi - SP ,,,,,,,,,,,,,,,,,,,,,,
"17:15 - 19:00
(01 hora e 
45 minutos) ","Estação prática
Monitores: ",,,,,,,,,,,,,,,,,,,,,,,
17:15 - 17:50,Triplo Duplo - Monomanual e bimanual,,,,,,,,,,,,,,,,,,,,,,,
17:50 - 18:25,Sequência de semi-chaves bloqueantes,,,,,,,,,,,,,,,,,,,,,,,
18:25 - 19:00,Competição - Prêmio ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
