 CONGRESSO ENDOGINECO ,,
Horário ,"Quinta-feira, 27/08/2026",Palestrante 
,,
7:30,Credenciamento curso Pré Congresso (USG Mapeamento) ,
08:00 - 17:30,"AUDITÓRIO C - Curso de USG Mapeamento de Endometriose
Coordenação:  MEDERE  (Cecília Pontes e Penélope Melo) ",,
12:00 - 13:30,INTERVALO ,,
13:30 - 17:00,,,
,,,
12:30,Credenciamento cursos Pré Congresso ,,
13:00-13:15 ,Abertura ,,
"13:15 - 15:00
","AUDITÓRIO A  - A Videocirurgia na Oncoginecologia
Coordenação:  Iolanda Matias ",,
15:00 - 15:30,COFFEE BREAK,,
15:30 - 17:00,,,
13:15 - 15:00,"AUDITÓRIO B  - Curso Nutricção para pacientes com Endometriose 
Coordenação:  ",,
13:15 - 15:00,,,
15:00 - 15:30,COFFEE BREAK,,
15:30 - 17:00 ,,,
13:15 - 17:00,"FOYER - Curso de Sutura Dry Lab em sutura Edoscópica 
Coordenação: Guilherme Zanluchi",,
,,,
 CONGRESSO ENDOGINECO ,,,
Horário ,"Sexta-feira, 28/08/2026",Palestrante ,
08:00 - 08:15,Credenciamento ,,
08:15 08:30,Abertura ,"Érica Batista 
Edilberto Rocha 
Jardel Soares 
Iolanda Matias 
Agostinho Machado                    Juliana Zaidan",
AUDITÓRIO A  ,,,
08:35- 09:00,Conferência - Como a IA pode influenciar  sua conduta do consultório ao pós- cirúrgico?,,
"09:05 - 10:05
(01 hora) ",MESA 1 - Miomas Uterinos ,,
"09:05 - 09:15
(10 min)",Estratégias para Diminuir o Sangramento nas miomectomias - Qual a minha estratégia ?,,
"09:15 - 09:25
(10 min) ",,,
"09:25 - 09:35
(10 min) ",Extração de miomas - Existe a melhor técnica ?,,
"09:35 - 09:45
(10 min) ",Conversão cirúrgica em miomectomia - falha na indicação ou decisão correta ?,,
"09:45 - 10:05
(20 min) ","CROSS FIRE 
Miomectomia Robótica  X Miomectomia Videolaparoscopias",,
"10:05 - 10:35
(30 min) ",COFFEE BREAK ,,
"10:35 - 12:15
(01 hora e 
40 min) ",MESA 2 - Vídeo Histeroscopia ,,
"10:35 - 10:45
(10 min) ",Vídeo Histeroscopia Ambulatorial qual o espaço até onde ir? Como minimizar o temor? Como diminuir a dor?,,
"11:05 - 11:20
(15 min) ",Hiperplasia Endometrial e Câncer de Endométrio. Ainda posso ser conservado e ? Até Quando ?,,
"11:20 - 11:35
(15 min) ",Utilizando a Histeroscopia para o tratamento da SUA( sangramento uterino anormal ,,
