NOME,CURRÍCULO
Aleide Tavares - PE,"Ginecologista, mestre em Ciências da Saúde UFPE 
Certificado de atuação em Sexologia pela FEBRASGO
Membro da Sociedade internacional de Medicina Sexual 
Membro da Sociedade Brasileira de Estudos em Sexualidade Humana 
Coordenadora do ambulatório de climatério HC-UFPE."
Altina Castelo Branco - PE,"Título de especialista em Reprodução assistida pela universidade Paris XI e FEBRASGO 
Doutora em Saúde Materno Infantil pelo Instituto de Medicina Integral Professor Fernando Figueira 
Professora Adjunta na disciplina de Tocoginecologia da universidade católica
Coordenadora da pós graduação em reprodução assistida Latu sensu da Unicap 
Diretora Médica da ART Fértil Medicina Reprodutiva em Recife"
Ana Carolina Serafim - PE,"Ginecologista pelo IMIP com Título em Ginecologia  pela FEBRASGO 
Especialista em Endoscopia Ginecológica pelo IAMSP com Título pela FEBRASGO 
Preceptora da Residência Médica de Endoscopia Ginecológica HC UFPE"
Antônio César Cruz - PE,"Coordenador da urologia do hospital Santa Joana 
Professor da Faculdade de medicina de Olinda"
Arthur Rangel - PE,"⁠Médico pela Universidade Federal da Paraíba (UFPB)
Urologista e Uro-oncologista pela Disciplina de Urologia da Faculdade de Medicina do ABC (FMABC)
Clinical Fellowship em Cirurgia Robótica pelo ERUS Curriculum/European Association of Urology (EAU) - Hospital da Luz, Portugal/ Orsi Academy, Bélgica
Coordenador médico do programa de Cirurgia Robótica do Hospital Nossa Senhora das Neves/ Rede D´or.
⁠Membro Titular da Disciplina de Câncer de Próstata da Sociedade Brasileira de Urologia, Biênio 2026-2027."
Carlos Godoy - SP,"Cirurgião Ginecológico graduado pela UNICAMP, com especialização em Oncologia Pélvica e Cirurgia Minimamante Invasiva, com ênfase no tratamento de Endometriose e Câncer Ginecológico. Mestre em Ginecologia pela UNICAMP. 
Médico Líder do Núcleo de Endometriose do Hospital São Luiz Campinas e do setor de Oncologia Ginecológica do Hospital Vera Cruz Campinas. Proctor em Robótica pela Intuitive."
Claudia Joaquim - RJ,"Títular pelo CBC e Sociedade Brasileira de Coloproctologia  
Coordenadora da Coloproctologia do Hospital Barra Dor e Glória Dor 
Professora da pós graduação em Videolaparoscopia do Instituto Crispi/Suprema
⁠Coloproctologista do Hospital Federal de Ipanema"
Eveline Sampaio - PE,"Médica graduada pela UPE;
Residência médica em ginecologia e obstetricia pelo CISAM;
Membro titular da Febrasgo;
Followship em Uroginecologia pelo HC;
Atua como preceptora da residência de ginecologia e obstetrícia do Hospital Barão de Lucena."
Gilcélia Barbieri - PE,"Nutricionista
Pós-graduada em Saúde Pública, Nutrição Esportiva e Nutrição Clínica Funcional
Especialista em saúde da mulher e fertilidade
Mestra e Doutora em Inovação Terapêutica
Fundadora da Clínica de Nutrição Gilcélia Barbieri e do Gil Barbieri Academy
Docente de Pós-graduação e do Gil Barbieri Academy
Idealizadora do SUMMIT NUTRI DA MULHER
Palestrante"
Giuliano Borelli - SP,"Pós-Doutor em Ginecologia pela USP (Universidade de São Paulo)
Duplo-Doutorado - USP e Universidade de Berlim - Charité
Atuação em Cirurgia Minimamente Invasiva - Cirurgião Robótico
Co-Fundador da Casa Endo - Clinica especializada em Saúde Da Mulher"
Isabella Parente - CE,"Fisioterapeuta 
Doutoranda- UFC
Mestre em Ciências Médico Cirúrgicas - UFC
Especialista em Reabilitação do assoalho pélvico - UNIFESP
Fisioterapeuta da Clínica Salvata 
Fisioterapeuta Saúde da Mulher- MEAC/ UFC/ EBSERH
Preceptora Residência Multiprofissional- MEAC/ UFC/ EBSERH
Membro do Departamento de Disfunção Sexual Feminina (DSF) da ABEMSS (2020-2024)"
