Nome ,Curriculo 
Arthur Rangel,
"Armando Menocau  - México
",
Aurélio Costa,
Carolina Feitosa Guido,
Diogenes Fontão ,"Residência em G.O. pelo IMIP
Título de Especialista em G.O. - TEGO - pela FEBRASGO
⁠Especialização em oncoginecologia pelo Hospital Pérola Byington
Especiallização em laparoscopia ginecológica e certificação em cirurgia robótica"
Eric Arancibia,
Evandilson Guenes,"Membro da sociedade brasileira de urologia
Mestre e doutor em cirurgia da UFPE
Cirurgião robótico Hospital Santa Joana"
Eveline Martins Sampaio,Médica graduada pela UPE; residência médica em ginecologia e obstetricia pelo CISAM; membro titular da Febrasgo; Followship em Uroginecologia pelo HC; atua como preceptora da residência de ginecologia e obstetrícia do Hospital Barão de Lucena.
Felipe Rocha - PB,
Felipe Rocha - PE ,"Formado em medicina pela UFPE em 2005, Residência Médica em Ginecologia e Obstetrícia em 2010 pelo Hospital das Clínicas - UFPE. Atualmente é militar oficial médico ginecologista da Polícia Militar de Pernambuco  em Recife-PE no Centro Médico Hospitalar- PMPE no posto de capitão, obstetra e ginecologista  da Multiclínica da mulher em Recife , plantonista e evolucionista da maternidade do Hospital Geral Materno Infantil da Unimed Recife"
Gilberto Pagnosin,
Guilherme Lima,
Helena Nagy,
Helizabeth Salomão,
Jessica Cesario,"Residencia em ginecologia e Endoscopia ginecológica no HC-UFPE
Preceptora em endoscopia ginecológica do HC-UFPE e no Hospital Agamenon Magalhães"
Juliana  Zaidan,
Kelwin Madson,"Mestrando em Cirurgia pela UFPE
Preceptor da Residência de Urologia do IMIP e HC-UFPE
Urologista Assistente do Hospital Santa Joana Recife."
Leonardo Lima,"Ginecologista e Preceptor da Residência de Tocoginecologia do Barão de Lucena.
Atuação em endoscopia ginecológica e Tratamento Laparoscópico de Endometriose."
Marcos Saturnino,
Maria Cecília ,"Ginecologista pelo HU-UFCG 2021-2023 
Ano adicional em Oncologia Ginecológica pelo HC-UFPE 2024-2025 
Membro do GiMi – Hospital Santa Joana (HSJ)- Recife desde 2025
"
Mariana Muniz,"Ginecologia e obstetrícia pelo Hospital Barão de Lucena
Oncoginecologia pelo Hospital das Clínicas-UFPE"
Mariana Santiago,
Mônica Zomer,
Neidson Menezes,
Paulo Ayroza,
Phalbo Rodrigo ,
Rafael Alves,
Rafael Oliveira,"Urologista pelo Hospital Oswaldo Cruz e 
Fellowship de cirurgia robótica  pelo Hospital Santa Joana Recife            "
Renato Barreto,
Rita Santos,"Especialista em fisioterapia oncológica- Unyleyla;
Formação vascular, Linfoterapia Ângela Max;
Especialista em reabilitação músculo esquelética-Gama Filho;
Formação taping- Internacional Academy;
Especialista cardiopulmonar-Pulmocardio;
Formação em Neurociência da dor, aplicada à prática clínica. 
Fisioterapeuta oncológica do Instituto de mama do Recife, da fisiooncoreabilit e do Núcleo de
oncologia do agreste."
Sirley Portela,"Dra. Sirley Portela Vasconcelos da Rocha
Endocrinologista – CRM-PE: 18938 / RQE: 2868
Médica formada pela Universidade Federal de Campina Grande (UFCG)
Residência em Clínica Médica no Hospital Getúlio Vargas (PE)
Residência em Endocrinologia no Hospital Agamenon Magalhães (PE)
Médica concursada da Secretaria Estadual de Saúde de Pernambuco
Médica concursada do Tribunal Regional Eleitoral da Paraíba
Áreas de atuação:
* Obesidade
* Saúde Feminina
* Diabetes Mellitus"
Sidraiton Melo,"Graduação em Medicina, (UFPE, 2005)
Residência Médica em Ginecologia e Obstetrícia, (Hospital das Clínicas / UFPE, 2010); 
Mestrado em Neurociências, (UFPE, 2012);
Pós-graduação em Laparoscopia Ginecológica, Hospital das Nações/Hospital Sugisawa (Curitiba-PR; 2024)
Pós-graduação em Histeroscopia Cirúrgica (Cetrus, Campus Recife; 2026) 
Membro Titular da Sociedade Brasileira de Videocirurgia, Robótica e Digital."
Simone Carvalho,
Sônia Lavínia,
Taciana Morais,
Vanessa Freitas,Médica graduada pela UFPE; residência médica em ginecologia e obstetricia pelo IMIP; membro titular da Febrasgo; Followship em Uroginecologia pelo IMIP; membro da Associação  brasileira de Uroginecologia e assoalho pélvico (UROGINAP); atua como preceptora da residência de ginecologia e obstetrícia do Hospital Barão de Lucena.
Walter Ivo Paiva,"Cirurgia robótica - Hospital israelita Albert Einstein -SP 
Endoscopia ginecologia no instituto Fernandez figueira - FIOCRUZ- RJ 
Ginecologia e Obstetrícia - Hospital Agamenon Magalhães"
William Kondo
