Nome ;Especialidade;CURRICULOS ;FOTO;
Álvaro Albano  (BA) ;Endocrinologista ;"Membro da Câmara Técnica de Cirurgia Bariátrica do CFM
Diretor Científico da Sociedade Brasileira de Cirurgia Bariátrica e Metabólica- Gestão 23/24
Professor Honorário do Fellowship de Cirurgia Bariátrica e Metabólica da IFSO Latin América";ok;
Denise Fernandes;Nutricionista ;"Intensivista, formada pelo programa de Residência Multiprofissional em Terapia Intensiva do Real Hospital Português;     
Especialista em Nutrição Parenteral e Enteral pela SBNPE/BRASPEN;                                      
Nutricionista da Equipe Multiprofissional de Terapia Nutricional (EMTN) do Real Hospital Português.";ok;
Edite Magalhães;Nutrologa ;"Médica Nutróloga - Título de especialista ABRAN/CFM
Especialista em terapia parenteral e enteral - SBNPE/CFM
Residência em Clínica médica - Santa casa de misericórdia do Recife 
Coordenadora da equipe de terapia nutricional e do serviço de nutrologia do hospital Santa Joana
Nutróloga da Nutrigen Clinic";ok;
Fábio Moura ;Endocrinologista ;"Especialista em Endocrinologia e Metabologia pela SBEM
Dr. Fábio Moura (Endocrino): Mestre em Ciências da saúde pela Universidade de Pernambuco";ok;
Fábio Menezes;Gastrointerologista ;Médico gastroenterologista formado pela universidade de Pernambuco. Preceptor de gastroenterologia no HUOC;ok;
Flávio Fernandes;Cirurgião do aparelho digestivo ;Cirurgião  do Aparelho Digestivo do Santa Joana, Ebserh e Hospital dos Servidores.;ok;
Francisco Bandeira ;Endocrinologista ;M.D., PhD., M.A.C.E.;ok;
Lara Neves;Patologista ;"Médica patologista pela UFPE
PhD em Patologia Hepática pelo King’s College London
Patologista do Hospital das Clínicas da UFPE, do SPAC e do Laboratório Municipal de Saúde Pública do Recife.";;
Leliane Alencar;Endoscopista ;"Leliane Alencar Bonates 
-Médica Endoscopista
-Membro Titular SOBED
-Presidente SOBED capítulo Pernambuco  gestão  25-26
-Diretora Médica Endogastro 
-Membro Sociedades Americana e Europeia de Endoscopia Gastrointestinal";ok;
Lucas Case Ferraz;Endoscopista ;"MEMBRO TITULAR DA SOCIEDADE BRASILEIRA DE ENDOSCOPIA (SOBED)
PRECEPTOR DA RESIDÊNCIA DE ENDOSCOPIA DIGESTIVA – HOSPITAL DA RESTAURAÇÃO-PE
ATUAÇÃO EM ENDOSCOPIA BILIOPANCREÁTICA – HOSPITAL UNIMED RECIFE / HOSPITAL DA RESTAURAÇÃO-PE / REDE HAPVIDA";ok;
Marcus Saturnino;Coloproctologista;"Coloproctologista 
Membro titular da Sociedade Brasileira de Coloproctologia (SBCP).
Membro do Grupo de Estudos da Doença Inflamatória Intestinal do Brasil (GEDIIB) e da Organização Europeia de Crohn e Colites.";ok;
Nildevande Firmino;Oncologista ;"Oncologista pelo Hospital Sirio Libanês (SP);
Oncologista do Hospital Santa Joana e Hospital do Câncer de Pernambuco.";ok;
Priscila Antunes;Nutricionista ;"Nutricionista Clínica no Hospital Santa Joana Recife
Graduação em Ciências da Nutrição - UFPE 
Residência em Nutrição Clínica - HC/UFPE
Mestre em Nutrição Clínica – faculdade de ciência da nutrição e alimentação da universidade do porto FCNAUP -Portugal 
Pós-graduada em Oncologia - liga portuguesa contra o cancro LPCC - Portugal";ok;
Thiago Apolinàrio;Oncologista ;"Residencia em Oncologia Clinica pelo IMIP-PE;
Oncologista clínico do Hospital Santa Joana;
Oncologista clínico do Hospital Universitário Oswaldo Cruz - Universidade de Pernambuco;
Membro ASCO, ESMO e SBOC";ok;
