Nome ;;Especialidade ;CURRICULOS ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Danielle Lodetti ;SP;Nutricionista ;"Mestrado - Neurociências 
Formação em Neurociências 
Criadora da Neuronutrição ®
Nutricionista pela Universidade Federal de Santa Catarina (2000)
Especialista em Fisiologia do Exercício,  Nutrição Estética, 
Aperfeiçoamento em Bioquímica Aplicada à Patologia , Especialização em Nutrição Ortomolecular e Nutrigenômica, 
Especialização em Fitoterapia Integrativa
 Especialização Psiquiatria Ortomolecular.
Professora e palestrante
Idealizadora científica da Academia da Neuronutrição ®
Coordenadora pós graduação em Neuronutrição ®
Coordenadora cientifica do Instituto Synbia ® – Jundiaí";"ANTIGO 
Mestrado - Neurociências 
Formação em Neurociências 
Criadora da Neuronutrição ®
Nutricionista pela Universidade Federal de Santa Catarina (2000)
Especialista em Fisiologia do Exercício pela Escola Paulista de Medicina (2002)
Especialista em Nutrição Estética pelo IPGS – Rio de Janeiro (2010)
Aperfeiçoamento em Bioquímica Aplicada à Patologia   - 2010 / 2016
Especialização em Nutrição Ortomolecular e Nutrigenômica – FAPES – SP (2012)
Especialização em Fitoterapia Integrativa
 Especialização Psiquiatria Ortomolecular  -FAPES   -  SP (2022)
Aperfeiçoamento em Bioquímica  - Arvore do conhecimento (2022)
Professora e palestrante
Idealizadora científica da Academia da Neuronutrição ®
Coordenadora pós graduação em Neuronutrição ®
Coordenadora cientifica do Instituto Synbia ® – Jundiaí";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edite Magalhães ;;Nutróloga ;"Médica Nutróloga - Título de especialista ABRAN/CFM
Especialista em terapia parenteral e enteral - SBNPE/CFM
Residência em Clínica médica - Santa casa de misericórdia do Recife 
Coordenadora da equipe de terapia nutricional e do serviço de nutrologia do hospital Santa Joana
Nutróloga da Nutrigen Clinic";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fernanda Padovani ;DF;Nutricionista ;"* Pós graduação em Nutrição Clínica
* Pós graduação em Nutrição Esportiva Funcional
* Pós graduação em Nutriendocrinologia
* Pós graduação em Biofísica Quântica e Biorressonância  aplicada
* Certificação pelo Instituto de Medicina Funcional –
IFM/USA em Autoimmunity
* Formação em florais de Bach na saúde da mulher
* Formação em Aromaterapia na saúde da mulher
* Formação em prescrição de ervas magistrais chinesas
* Formação em Dietoterapia Chinesa
* Doutoranda em Naturopatia
* ";;Natalia Vitafor ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Catarina (Roval) ;;Farmacêutica ;"Farmacêutica da Farmácia Roval - Câmara Técnica (P&D)                                                        Doutora em Biologia Aplicada á Saúde - UFPE                                                                                                           Mestre em Bioquimica - UFPE                                                                                                     Especialista em Microbiologia Aplicada - UFRPE                                                             Especialista em Ciência dos Alimentos e Longevidade Humana                                             Professora da Pós-Graduação em Dermatologia e Tricologia - CBMS                                                       Professora da Pós-Graduação em Nutrição Esportiva, Nutrição Clínica e Fitoterapia; Materno-Infantil - FAFIRE, INADES, CCE, IPGS, IAF (Instituto Andréia Frinques)                    Professora da Pós-Graduação em Cosmetologia Aplicada à Estética e Fisioterapia Dermatofuncional - CCE e IDE                                                                                                              Professora da Pós-Graduação Farmácia Magistral - Gestão - IDE.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Juliana Schetinni;;Ginecologista ;"Médica Ginecologista com Doutorado em Saúde Materno-Infantil pelo IMIP.
Preceptora do ambulatório de Patologia do Trato Genital Inferior da Maternidade Bandeira Filho.
Speaker da Rennova Íntima 
Atuando principalmente nas áreas de 
Ginecologia Regenerativa, Funcional e Estética e na 
Terapia de Reposição hormonal";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leonardo Bandeira ;;Endocrinologista ;Doutorando em Endocrinologia na Escola Paulista de Medicina (EPM/Unifesp)              Fellow em Endocrinologia pela Columbia University, NY                                                               Diretor da Sociedade Brasileira de Endocrinologia e Metabologia - SBEM/PE                                        Endocrinologista da Nutrigen Clinic.                 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maria Pimentel;;Nutricionista ;"Formada pela Faculdade Pernambucana de Saúde - FPS
Formação em Modulação Intestinal - Murilo Pereira 
Pós-graduada em Adequação Nutricional e Manutenção da Homeostase - Uningá 
Pós-graduada em Reprogramação Epigenética Eficiente - Plenitude Educação ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedro Perim ;SP;Nutricionista ;"Nutricionista,
Mestre pela Faculdade de Medicina da USP,
Pesquisador na área de suplementação com dezenas de artigos publicados,
Fundador da P2 Nutrition Academy,
Especialista em Nutrição Esportiva,
Especialista em Microbiota Intestinal,
Certificado Internacionalmente em Nutrição,
Membro do American College of Sports Medicine,
Criador da Formação em Suplementação Inteligente e Comunidade ""Um Scoop de Ciência"",
Nutricionista e Fundador Clínica PENS.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rebeca Pessoa ;;Nutricionista ;"Nutricionista Formada pelo Centro Universitário Maurício de Nassau - UNINASSAU RECIFE.
Pós-Graduação em Nutrição Funcional Integrativa pela faculdade VP Nutricional.
Pós-Graduação em Saúde da Mulher pela pela faculdade VP Nutricional.
Atuação com foco em Nutrigenética, emagrecimento, saúde da mulher, estética e
menopausa.
Especialização em Nutrição Oncológica pelo A.C.Camargo Câncer Center.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Renata Martins ;MG;Nutróloga ;"Médica Nutróloga,
Residência Médica em Nutrologia pelo Hospital Felício Rocho
Especialista em Nutrição Enteral e Parenteral pelo Hospital Felício Rocho
Pós graduada em Nutrologia pela ABRAN
Especialidade em Obesidade e Nutrologia esportiva pela ABRAN
Chancelada pelo American College of Sports Medicine em Nutrição Esportiva
Nutrigenetica e Medicina de Precisão";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
