,Nome ,Curriculo 
1,Aline Piol Sá,"Médica Dermatologista 
Especista em Oncologia Cutânea pelo Instituto Sírio Libanês 
Especialista em Cirurgia Dermatológica pelo IMS-Hospital da Gamboa
Especialista em Acupuntura pelo Colégio Médico de Acupuntura  
Especialista em Medicina de Família e Comunidade pela AMB"
2,Antônio Douglas,"Oncologista Clínico Do Hospital Santa Joana – Rede Américas;
Professor da UPE"
3,Beatriz Cavalcanti,"Cirurgiã geral Pela universidade Federal do Rio Grande do Norte - HUOL
Cirurgiã oncológica pelo hospital do câncer de Pernambuco                                                                        Preceptora do serviço de oncoginecologia do Hospital do Câncer de Pernambuco"
4,Claudia Fontan,"Médica radiologista especialista pelo Colégio Brasileiro de Radiologia – CBR
Membro da Comissão Nacional de Ultrassonografia - CNUS/CBR
Visiting Scholar MSK UCSD- San Diego
Fundadora e responsável técnica da clínica  ULTRAPLENNA ultrassonografia especializada.
Mestre em biologia da saúde –HC/UFPE
Doutoranda LIKA/Ageu Magalhães -UFPE"
5,Daniela Takano,"Residência médica em Anatomia Patológica pela Universidade Federal de São Paulo/Unifesp
Mestre em Patologia pela Universidade Federal de Pernambuco/UFPE
Título de especialista em Dermatopatologia pela International Society of Dermatopathology/ISDP
Patologista Hospital das Clínicas da Universidade Federal de Pernambuco/UFPE e do laboratório de Patologistas Associados/PAS"
6,Janielli Assis,"Médica pelo Centro Universitário Maurício de Nassau - UNINASSAU
Dermatologista pelo IMIP
Título de especialista pela Associação Médica Brasileira
Membro titular da Sociedade Brasileira de Dermatologia
Pós-graduanda em oncologia cutânea no A.C Camargo Cancer Center"
7,Jéssica Guido,"Membro Titular da Sociedade Brasileira de Dermatologista                                                                        Professora e Coordenadora da Disciplina de Dermatologia da Universidade Federal de Pernambuco e Universidade Católica de Pernambuco                                                                                                                               Preceptora da Residência Médica do HC-UFPE                                                                                                 Mestre em Medicina Interna pela UFPE e Doutora em Cirurgia pela UFPE.
Chefe do Ambulatório de Toxicidade Cutânea a Quimioterápicos e a Imunossupressores"
8,Laís Príncipe,"Médica patologista com atuação em dermatopatologia                                                                                           Atualmente trabalha no Hospital Universitário Oswaldo Cruz, Laboratório PAS e Serviço de Verificação de Óbito"
9,Leandro Apolinário,"Oncologista clínico do Hospital Santa Joana Recife (Americas 
Oncologia) e do Hospital Universitário Oswaldo Cruz (Universidade 
de Pernambuco);
Ex-research FELLOWSHIP IOSI, Swizterland"
10,Luis Felipe Carvalho,"Médico Oncologista Clínico 
Preceptor da Residência de Oncologia Clínica do IMIP
Médico Oncologista da Rede Americas. ","confirmou, mas vai atualizar currículo"
11,Luiz José Batista,"Médico oncologista Santa Joana Recife, Esperança Recife, HC UFPE
Mestrado em cuidados paliativos pelo Imip
Chefe da Unidade de Oncologia e Hematologia do Hospital das Clínicas da UFPE",
12,Natália Diniz ,"Fellow Dermatologia em Oncologia Insituto Nacional de Câncer- INCA RJ
Pós Graduação Dermatologia Oncológica Hospital Sírio Libanês 
Sociedade Brasileira de Cirurgia Dermatológica (SBCD)
Sociedade Brasileira de Dermatologia (SBD)
Grupo brasileiro de Melanoma (GBM)
Residência Médica Dermatologia Universidade Federal de Alagoas 
Graduação em medicina pela Universidade de Pernambuco 
",
13,Nildevande Firmino,"Oncologista pelo Hospital Sírio Libanês (SP).
Oncologista do Hospital Santa Joana e do Hospital do Câncer de Pernambuco.",
