NOME,CURRÍCULO
Alfredo Leite,
Ana Rita Carvalho,
Antônio Douglas,"Oncologista Clínico Do Hospital Santa Joana – Rede Américas;
Professor da UPE"
Bruna Rocha ,"Possui formação em Endoscopia Respiratória (com treinamento em EBUS radial e setorial e Criobiópsia) pela Universidade de São Paulo - USP/INCOR, em Pneumologia pela Universidade Federal de São Paulo (Unifesp - EPM). Tem Atuação em Pneumologia e Endoscopia Respiratória no Real Hospital Português, Hospital Otávio de Freitas, e IMIP, Recife - PE. Professora da Faculdade Pernambucana de Saúde (FPS)"
Bruno Pacheco,"Oncologista do grupo Américas
Presidente do oncologia para todos                                                                                                               "
Camila Saito ,"Pneumologista e Médica do sono pela USP-SP
Assistente do Hospital Otávio de Freitas"
Danielli Matias - RN,Oncologista do Oncology Group e grupo Oncoclínicas - membro do comitê de tórax Lacog e SBOC e comitê de pesquisa clínica GBOT
Débora Porto,
Eriberto Marques,
Filippe Gouvêa ,
France Anne Reinaldo,"Oncologia clínica pela UPE/HUOC
Mestre em ciência e tecnologia pela UniversidadeEstadual da Paraíba 
Doutoranda em Biologia aplicada à saúde pela Universidade Federal de Pernambuco 
Oncologista do Hospital Universitário Alcides Carneiro/ FAP/ Clínica Oncol"
Francisco Sarmento ,"Medico radiologista
Mestre em ciências pela USP/SP
Co-fundador da Healthtech NaviSmart"
Gustavo Ferreira,"Graduação pela UFPE, mestrando e professor substituto na mesma instituição. 
Residência médica na EPM(escola paulista de medicina)/UNIFESP.
Trabalha no Hospital Otávio de Freitas e também nos laboratórios SPAC e Citomaxx."
Hugo Veiga,
José Fernando Prado,"Médico oncologista, mestre e doutor
Investigador principal no Real Hospital Português e IMIP"
Leonardo Pontual ,
Leonardo Vila,
Letícia Lauricella - SP ,"Professora colaboradora da disciplina de cirurgia torácica da FMUSP
Cirurgiã torácica ICESP/ Rede Américas Hospital Samaritano Higienópolis/ Einstein Hospital Israelita 
Proctor de cirurgia robótica"
Luiz Felipe Carvalho ,
Luiz José de Barros,
Nadja Rolim,
Paula Abreu e Lima,"Diretora Médica do laboratório Adonis Carvalho
Especialista em anatomia patológica pelo American Board of Pathology
Coordenadora médica do serviço de patologia do IMIP"
Paulo Almeida ,
Petrúcio Sarmento,"Prof. Departamento de Cirurgia da UFPB
Cirurgião Torácico - Hospital Santa Joana Recife"
Ricardo Machado,"Médico do serviço de Medicina Nuclear do Hospital Santa Joana e do setor de 
PET/CT do Hospital Memorial Star e da clinica CEMUPE.
Coordenador da Residência de medicina nuclear do Hospital IMIP"
Sandra Oliveira,
Selem Asmar,
Suzane Leite,
Thiago Apolinario ,
Thiago Darlan,"Pneumologista pelo Hospital Universitário Oswaldo Cruz 
Preceptor da residência de Pneumologia do Hospital das Clínicas UFPE
Pneumologista assistente no Hospital Santa Joana e IMIP"
Tomás Béder,"Pneumologista e Fellow em Doenças Intersticiais pela Universidade de São Paulo (USP)
Pneumologista do Hospital Santa Joana / Real Hospital Português
Supervisor da Residência em Pneumologia do Hospital Otávio de Freitas (HOF)"
Victor Gondim - RJ,
Vladmir - SP,
Yally Nascimento ,"Pneumologista e especialista em Circulação Pulmonar pelo HCFMUSP
Pneumologista assistente do Hospital Santa Joana"
