"

 II Simpósio Pernambucano Multidisciplinar de Prevenção de Quedas
",,
Horário,21 de agosto (sexta-feira),Palestrante 
PRÉ-SIMPÓSIO  e ABERTURA,,
"14h15 – 17h15 
(03 horas)",OFICINAS PRÁTICAS ,
"14h15 – 17h15 
(03 horas)",DAM no contexto hospitalar: um processo de manutenção e facilitação da mobilidade ,"Alexsandra Santos
(Fisioterapeuta)",
"14h15 – 17h15 
(03 horas)",Realidade Virtual na prevenção de quedas ,"Amanda Perez 
(Fisioterapeuta)",
"14h15 – 17h15 
(03 horas)",Estimulação Cognitiva aplicada ao risco de quedas ,"Pamela Nascimento
(Terapeuta Ocupacional) ",
"17h15 – 18h00 
(45 min) ",COFFEE BREAK ,,
18h00 – 18h20  (20 min) ,ABERTURA OFICIAL DO EVENTO,,,,,,,,,,,,,,,,,,,,,,,
18h20 – 19h10    (50 min),"PALESTRA MAGNA DE ABERTURA
Quedas como Síndrome Geriátrica: do Evento Isolado ao Marcador de Fragilidade — o que é imprescindível?
","Alexandre de Mattos
(Geriatra)",,,,,,,,,,,,,,,,,,,,,,
"

 II Simpósio Pernambucano Multidisciplinar de Prevenção de Quedas
",,,,,,,,,,,,,,,,,,,,,,,,
Horário,22 de agosto (sábado) ,Palestrante ,,,,,,,,,,,,,,,,,,,,,,
08h15 – 08h45  (30 min) ,Panorama epidemiológico das quedas no Brasil e no Nordeste: Impacto socioeconômico e assistencial,"Camila Mendes 
(Ministério Saúde) – DF ",,,,,,,,,,,,,,,,,,,,,,
"08h50 – 10h00  
(1 hora e 10 min) ","MESA REDONDA 1 
Prevenção Secundária de Fratura por Fragilidade Óssea em Pessoas Idosas
Moderador: Marina Hazin (Fisioterapeuta)",,,,,,,,,,,,,,,,,,,,,,,
08h50 - 09h05 (15 min) ,Vulnerabilidade clínica e funcional após a fratura na pessoa idosa,"Isabelle Violet
(Geriatra) ",,,,,,,,,,,,,,,,,,,,,,
09h05 - 09h20  (15 min),A fratura por fragilidade como marcador de alto risco: o que não pode ser negligenciado,Múcio  Vaz (Otopedista/Cirurgião),,,,,,,,,,,,,,,,,,,,,,
09h20 - 09h35  (15 min),Reabilitação e prevenção secundária após fratura por fragilidade: o que já sabemos e o que ainda não implantamos?,Alexsandra Santos  (Fisioterapeuta),,,,,,,,,,,,,,,,,,,,,,
09h35 - 09h50  (15 min),Segurança medicamentosa na pessoa idosa: implicações no risco de quedas e fraturas,"Bárbara Nunes 
(Farmacêutica)",,,,,,,,,,,,,,,,,,,,,,
09h50 - 10h00 (10 min) ,DISCUSSÃO ,,,,,,,,,,,,,,,,,,,,,,,
10h00 – 10h20 (20 min) ,INTERVALO ,,,,,,,,,,,,,,,,,,,,,,,
