,NOME,ESPECIALIDADE,CATEGORIA,CONFIR,FOTO,CURRIC,MESA OU TEMA,HORÁRIO,TEMA PALESTRA,DATA
1,"Alexandre Matos
",Geriatra,PALESTRANTE,,,,"PALESTRA MAGNA DE ABERTURA
Quedas como Síndrome Geriátrica: do Evento Isolado ao Marcador de Fragilidade — o que é imprescindível?
",18h20 – 19h10    (50 min),"PALESTRA MAGNA DE ABERTURA
Quedas como Síndrome Geriátrica: do Evento Isolado ao Marcador de Fragilidade — o que é imprescindível?
",21-Aug
2,Alexsandra Santos  ,Fisioterapeuta,PALESTRANTE,ok,,,OFICINAS PRÁTICAS ,"14h15 – 17h15 
(03 horas)",DAM no contexto hospitalar: um processo de manutenção e facilitação da mobilidade ,21-Aug
,,,PALESTRANTE,,,,"MESA REDONDA 1 
Prevenção Secundária de Fratura por Fragilidade Óssea em Pessoas Idosas
",09h20 - 09h35  (15 min),Reabilitação e prevenção secundária após fratura por fragilidade: o que já sabemos e o que ainda não implantamos?,22-Aug
3,"Amanda Perez 
",Fisioterapeuta,PALESTRANTE,,,,OFICINAS PRÁTICAS ,"14h15 – 17h15 
(03 horas)",Realidade Virtual na prevenção de quedas ,21-Aug
,,,PALESTRANTE,,,,PALESTRA TECNOLOGIA                                                                                                    Gerontecnologia: IA da predição à prevenção de quedas,16h55 - 17h25 (30 min) ,PALESTRA TECNOLOGIA                                                                                                    Gerontecnologia: IA da predição à prevenção de quedas,22-Aug
4,"Ana Carla Montenegro
",Endocrinologista,PALESTRANTE,,,,"MESA REDONDA 2 
Fatores clínicos modificáveis na prevenção de quedas: as contribuições da clínica médica e da endocrinologia
","11h30 – 11h50 
(20 min) ","Antes da primeira queda: contribuições da endocrinologia para a prevenção primária
",22-Aug
5,"Ana Paula Oliveira
",Fisioterapeuta,PALESTRANTE,,,,"PAINEL MULTIDISCIPLINAR       
Síndrome Cognitiva Motora e Quedas","10h20 - 10h35
(15 min)",Bases Neurocognitivas da Marcha e do Controle Postural,22-Aug
,,,PALESTRANTE,,,,"PAINEL MULTIDISCIPLINAR       
Síndrome Cognitiva Motora e Quedas","10h35 - 10h50
(15 min) ",Avaliação Cognitivo-Motora do Risco de Quedas,22-Aug
6,"Bárbara Nunes 
",Farmacêutica,PALESTRANTE,ok,,,"MESA REDONDA 1 
Prevenção Secundária de Fratura por Fragilidade Óssea em Pessoas Idosas",09h35 - 09h50  (15 min),Segurança medicamentosa na pessoa idosa: implicações no risco de quedas e fraturas,22-Aug
7,Camila Mendes -  DF ,Ministério Saúde,PALESTRANTE,,,,Panorama epidemiológico das quedas no Brasil e no Nordeste: Impacto socioeconômico e assistencial,08h15 – 08h45  (30 min) ,Panorama epidemiológico das quedas no Brasil e no Nordeste: Impacto socioeconômico e assistencial,22-Aug
8,"Camilla Bianca
",Fisioterapeuta,PALESTRANTE,ok,,,"PAINEL MULTIDISCIPLINAR       
Síndrome Cognitiva Motora e Quedas","10h50 - 11h05
(15 min) ",Estratégias Terapêuticas Cognitivo-Motoras na Prevenção de Quedas,22-Aug
9,"Carlos Henrique
",Geriatra,PALESTRANTE,,,,"MESA MULTIDISCIPLINAR                                                                                                                                             Correlação entre Disfagia, Inapetência e Quedas","13h30 - 13h45
(15 min)","Síndromes geriátricas associadas à disfagia, inapetência e risco de quedas",22-Aug
10,"Carolina Nanque
",Fisioterapeuta,PALESTRANTE,,,,"PALESTRA CIENTÍFICA                                                                                                      Fragilidade, Sarcopenia e Quedas no Hospital: O que Já Sabemos e o que Precisamos Fazer?","14h30 - 15h15
(45 min)","PALESTRA CIENTÍFICA                                                                                                      Fragilidade, Sarcopenia e Quedas no Hospital: O que Já Sabemos e o que Precisamos Fazer?",22-Aug
11,Cecília Prado ,Fisioterapeuta,PALESTRANTE,,,,"MESA DE ENCERRAMENTO 
Integração Multidisciplinar na Linha de Cuidado da Pessoa Idosa em Risco de Queda",17h35 - 17h45 (10 min) ,"Síntese dos consensos
Recomendações técnicas
Encaminhamentos institucionais",22-Aug
12,"Clara Maia
",Psicóloga,PALESTRANTE,,,,"MESA INTEGRADA                 
Aspectos Psicossociais das Quedas: Luto Funcional, Isolamento e Reinserção Comunitária",16h05 - 16h20 (15 min),Impacto emocional pós-queda,22-Aug
