NOME,Curriculo 
"Alexandre Matos
",
Alexsandra Santos  ,"Fisioterapeuta (2023.1). Mestranda em Fisioterapia pela Universidade Federal de Pernambuco (UFPE), vinculada à linha de pesquisa: Saúde da mulher, do homem e processo de envelhecimento. Pós graduada em Fisioterapia Neurofuncional e Gerontologia, com atuação nas áreas de Traumato-Ortopedia, Reabilitação Neurofuncional e Gerontologia, voltada à funcionalidade, prevenção de quedas e promoção da autonomia e qualidade de vida no envelhecimento."
"Amanda Perez 
","Fisioterapeuta, Doutora em Ciências Biológicas e Mestra em Engenharia Biomédica, possuindo especialização em Fisioterapia Neurofuncional chancelada pelo COFFITO. Como pesquisadora vinculada ao Laboratório de Interface Homem-Máquina, desenvolve investigações focadas na análise do movimento humano e no desenvolvimento de tecnologias aplicadas à saúde. Sua trajetória profissional é marcada por uma sólida atuação clínica em reabilitação neurológica e geriátrica, com ênfase na assistência domiciliar a pacientes com limitações funcionais."
"Ana Carla Montenegro
",
"Ana Paula Oliveira
",
"Bárbara Nunes 
","Farmacêutica pela Universidade Federal de Pernambuco (UFPE). Especialista em Farmácia Hospitalar pelo Programa de Residência do Instituto de Medicina Integral Professor Fernando Figueira (IMIP) e em Farmácia Hospitalar e Clínica pela Faculdade de Ciências e Educação em Saúde.
Atua em Farmácia Clínica em Terapia Intensiva Pediátrica. 
Possui experiência em gerenciamento de antimicrobianos e gestão de riscos relacionados à cadeia medicamentosa.
É preceptora de Programa de Residência Multiprofissional em Terapia Intensiva e docente de cursos de pós-graduação nas áreas de Fisioterapia, Enfermagem e Farmácia.
Integra o Grupo Técnico de Trabalho de Farmácia Clínica do Conselho Regional de Farmácia de Pernambuco (CRF-PE)."
Camila Mendes -  DF ,
"Camilla Bianca
",
"Carlos Henrique
",
"Carolina Nanque
","Fisioterapeuta – Bacharelado pela UFPE
Mestrado em Gerontologia – UFPE
Doutoranda em Fisioterapia – UFPE (linha de pesquisa em Gerontologia e Saúde Pública)
Especialista em Gerontologia – SBGG
Especialista em Fisioterapia em Gerontologia – ABRAFIGE/COFFITO
Especialista em Fisioterapia Respiratória – ASSOBRAFIR/COFFITO
Fisioterapeuta do Hospital Sírio-Libanês (SP) – atuação em Unidades de Internação
Coordenadora da Câmara Técnica de Fisioterapia em Gerontologia do CREFITO-1
Coordenadora e Docente de pós graduação em Fisioterapia em Gerontologia e em Fisioterapia Hospitalar"
"Clara Maia
","Psicóloga formada pela Universidade Federal de Pernambuco (UFPE) 
⁠Especialista em Terapia Intensiva pelo Real Hospital Português/ UFPE
Psicóloga da UTI geral e do Protocolo de Cuidados Paliativos do Hospital Santa Joana Recife 
Em formação em Gestalt-Terapia pelo Instituto Figura Viva"
Danielle Ferraz ,
Eduardo De Holanda ,
