SÁBADO 01/11/25;;;;
"Mesa 6 – Câncer colorretal – diagnóstico e patologia 
Presidente: Rommel Pierre 
Moderadores: Carol Mathias, Joyce Cavalcanti, Antônio de Pádua ";;;;
"08:00 - 08:15
(15 min) ";Rastreamento do câncer colorretal: o que há de novo?;Marcos Saturnino;;
"08:15 - 08:30
(15 min) ";Terapia endoscópica no câncer colorretal inicial;Leliane Alencar ;;
"08:30 - 08:45
(15 min) "; Imunoterapia em Câncer  colonrretal : O  que ha de novo ?;Thiago Apolinario;;
"08:45 - 09:00
(15 min) ";Drivers em CCR: velhos conhecidos, novas possibilidades;Roberto Borges ;;
"09:00 - 09:15 
(15 min) ";DISCUSSÃO ;;;
"09:15 - 09:45
(30 min)";Simpósio Satélite PFIZER/MERK - Tratamento sistêmico do câncer de colon metasttico BRAF mudado;Antônio Douglas ;;
"Mesa 7 – Câncer de reto
Presidente:  Mauricio Mattos
Moderadores:   João Paulo Pontual, Jenna, Jamylle Cabral ";;;;
"09:45 - 10:00
(15 min) ";Impacto da radiologia na avaliação de resposta ao tratamento ;Ítalo Cruz ;;
"10:00 - 10:15
(15 min) ";Terapia neoadjuvante e imunoterapia - Como estamos ?;Thiago Apolinario;;
"10:15 - 10:30
(15 min) ";Seguimento do paciente após Watch and Wait: como conduzir? ;Joyce Cavalcanti ;;
"10:30 - 10:45
(15 min) ";Ressecção multi visceral no câncer de reto : indicações e limites ;Manoel ;;
"10:45 - 11:00
(15 min) ";DISCUSSÃO ;;;
"11:00 - 11:30
(30 min) ";Simpósio Satélite IPSEN - Tratamento sistêmico do TNE ;Ana Paula Vitorino;;
"11:30 - 11:50
(20 min) ";COFFEE BREAK ;;;
"Mesa 8 – Tumores neuroendócrinos e câncer de pâncreas 
Presidente:Cristiane Violet
Moderadores:  Ilan  Pedrosa, Omar  Jacobina , Franciane";;;;
"11:50 - 12:20
(30 min) ";Simpósio Satélite SERVIER  - Tratamento sistêmico do Câncer de Pâncreas metasttico;Felipe Moreira ;;
"12:20 - 12:35
(15 min)";Neoadjuvancia em Câncer de Pâncreas ;Luiz José Batista;;
"12:35 - 12:50
(15 min) ";Critérios de Ressecabilidade ;Pedro Pinheiro ;;
"12:50 - 13:05
(15 min) ";Insuficiência pancreática pós-cirúrgica: como manejar ;Gustavo Lima;;
"13:05 - 13:20
(15 min) ";DISCUSSÃO ;;;
