NOME,CATEGORIA,,,,,,,,,,,
"Alexandre da Fonte
(Radiologista)",MODERADOR,,,,,,,,,,,
Amanda Marquim (Enfermeira),MODERADOR,,,,,,,,,,,
"Américo Gusmão
(Cirurgião)",MODERADOR,,,,,,,,,,,
"Ana Rita Carvalho
(Radiologista)",MODERADOR,,,,,,,,,,,
"Antônio Douglas
(Oncologista)  ",PALESTRANTE,,,,,,,,,,,
,PALESTRANTE,,,,,,,,,,,
Artur Lima (Oncologista),MODERADOR,,,,,,,,,,,
"Beatriz Cavalcanti
(Cirurgiã) ",MODERADOR,,,,,,,,,,,
Bernardo Domingues ,MODERADOR,,,,,,,,,,,
"Carlos Abath
(Cirurgião Vascular)",PALESTRANTE,,,,,,,,,,,
Carolina Reis (Hepatologista),MODERADOR,,,,,,,,,,,
"Cristiana Tavares 
(Oncologista)",PALESTRANTE,,,,,,,,,,,
,PRESIDENTE,,,,,,,,,,,
"Christiane Violet
(Oncologista)",PRESIDENTE,,,,,,,,,,,
"Débora  
(Enfermeira) ",PALESTRANTE,,,,,,,,,,,
"Diogo Sales
(Oncologista Clinico)",PALESTRANTE,,,,,,,,,,,
Edite Magalhães (Nutróloga) ,MODERADOR,,,,,,,,,,,
"Eduardo Inojosa 
(Oncologista)",PALESTRANTE,,,,,,,,,,,
"Eriberto Marques 
(Oncologista)",PRESIDENTE,,,,,,,,,,,
"Felipe Coelho
(Radioterapeuta)",MODERADOR,,,,,,,,,,,
"Flávio Fernandes 
(Cirurgião abdominal) ",PALESTRANTE,,,,,,,,,,,
"Francisco Ambrósio 
(Oncologista) ",PALESTRANTE,,,,,,,,,,,
"Gustavo Fernandes
(Oncologista)  ",PALESTRANTE,,,,,,,,,,,
Gustavo Ferreira (Patologista) ,PALESTRANTE,,,,,,,,,,,
"Gustavo Lima 
(Gastroenterologista) ",PALESTRANTE,,,,,,,,,,,
"Ilan Pedrosa
(Oncologista) ",PALESTRANTE,,,,,,,,,,,
"Ilka Rocha
(Oncologista)",PALESTRANTE,,,,,,,,,,,
"Isaac Esmeraldo
(Cirurgião)",MODERADOR,,,,,,,,,,,
"Ítalo Cruz 
(Radiologista)",MODERADOR,,,,,,,,,,,
"João Mangueira
(Oncologista)
",MODERADOR,,,,,,,,,,,
"João Paulo Ayub
(Radiologista) ",PALESTRANTE,,,,,,,,,,,
"Joyce Cavalcanti
(Coloproctologista) ",PALESTRANTE,,,,,,,,,,,
"Leandro Apolinário 
(Oncologista)",MODERADOR,,,,,,,,,,,
"Leila Beltrão
(Hepatologista)",PRESIDENTE,,,,,,,,,,,
"Lilian Rose Gomes 
(Hepatologista) ",PALESTRANTE,,,,,,,,,,,
"Luis Felipe
(Oncologista) ",PALESTRANTE,,,,,,,,,,,
"Manoel de Andrade
(Cirurgião)",MODERADOR,,,,,,,,,,,
"Marcella Campos 
(Nutricionista)",PALESTRANTE,,,,,,,,,,,
"Murilo Araújo
(Oncologista)",PALESTRANTE,,,,,,,,,,,
"Nadja Rolim 
(Radiologista)",PALESTRANTE,,,,,,,,,,,
"Nildevande Firmino
(Oncologista Clínico)",PALESTRANTE,,,,,,,,,,,
"Olival Lucena
(Cirurgião)  ",PALESTRANTE,,,,,,,,,,,
,PRESIDENTE,,,,,,,,,,,
"Omar  Jacobina
(Cirurgião geral)",PRESIDENTE,,,,,,,,,,,
"Paulo Carvalho 
(Preparador físico)",PALESTRANTE,,,,,,,,,,,
"Pedro Paulo
(Cirurgião)",PALESTRANTE,,,,,,,,,,,
"Pedro Pinheiro
 (Cirurgião) ",PRESIDENTE,,,,,,,,,,,
"Pedro Uson
(Oncologista) ",PALESTRANTE,,,,,,,,,,,
Phabllo Rodrigo (Cirurgião),MODERADOR,,,,,,,,,,,
Rafael Caires (Oncologista),MODERADOR,,,,,,,,,,,
"Rafael Fontolan 
(Cirurgião) ",PALESTRANTE,,,,,,,,,,,
"Ricardo Machado
(PET)",MODERADOR,,,,,,,,,,,
"Roberto Borges
(Oncologista) ",MODERADOR,,,,,,,,,,,
Roberto Lustosa ,PALESTRANTE,,,,,,,,,,,
"Rodrigo Arruda
(Oncologista) ",PALESTRANTE,,,,,,,,,,,
Romulo Furtado (Cirugião),MODERADOR,,,,,,,,,,,
"Rossano Araújo 
(Oncologista)",PRESIDENTE,,,,,,,,,,,
"Samara Duarte
(Coloproctologista)",PALESTRANTE,,,,,,,,,,,
"Simone Fumolaro - IT
(Cirugiao Hepatobiliar)",PALESTRANTE,,,,,,,,,,,
"Tainã Reis
(Nutricionista) ",MODERADOR,,,,,,,,,,,
"Thaís Gelenske
(Endocrinologista) ",PALESTRANTE,,,,,,,,,,,
"Thales Batista
(Cirugião)",MODERADOR,,,,,,,,,,,
"Thiago Apolinário
(Oncologista) ",PALESTRANTE,,,,,,,,,,,
"Tiago Iwanaga
(Cirurgião)",PALESTRANTE,,,,,,,,,,,
"Tibério Medeiros
(Gastro Hepatologista) ",PALESTRANTE,,,,,,,,,,,
"Tien Chang
(PET)",MODERADOR,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
