NOME,Curriculo 
"Alexandre da Fonte
(Radiologista)","Coordenador do Jayme da Fonte diagnósticos
Membro da comissão científica do colégio brasileiro de radiologia"
Amanda Marquim (Enfermeira),"Enfermaria formada pela Universidade de Pernambuco, com experiência  em navegação oncológica. Atualmente ocupa o cargo de supervisão das linhas de cuidados do hospital Santa Joana Recife.
Possui experiência em gestão de centro cirúrgico no Hospital Universitário Oswaldo Cruz. MBA em central de materiais e esterilização."
"Américo Gusmão
(Cirurgião)",Professor adjunto de cirurgia da Universidade de Pernambuco. Preceptor da Residência em Cirurgia Geral e Digestiva da Universidade de Pernambuco. Cirurgião transplantador de fígado do Hospital Universitário Osvaldo Cruz e do Hospital Nossa Senhora das Neves
"Ana Rita Carvalho
(Radiologista)","Radiologista Rede D'Or
Coordenadora Radiologia HSE
Membro Titular CBR"
"Antônio Douglas
(Oncologista) ","Oncologista Clínico Do Hospital Santa Joana – Rede Américas;
Professor da UPE"
Artur Lima (Oncologista),
"Beatriz Cavalcanti
(Cirurgiã) ","Cirurgiã geral Pela universidade Federal do Rio Grande do Norte - HUOL
Cirurgiã oncológica pelo hospital do câncer de Pernambuco                                                                        
Preceptora do serviço de oncoginecologia do Hospital do Câncer de Pernambuco
Cirurgiã oncológica do grupo Américas - Hospital Santa Joana"
Bernardo Domingues ,
"Carlos Abath
(Cirurgião Vascular)",
Carolina Reis (Hepatologista),"Médica graduada pela Universidade Federal de Pernambuco - UFPE
Residência em Clínica médica e Hepatologia 
Hepatologista do Hospital Santa Joana Recife e Hospital Esperança Recife 
Preceptora da residência de Clínica médica do Hospital Esperança Recife - rede D’Or"
"Cristiana Tavares 
(Oncologista)","Oncologista do Hospital Santa Joana e do Hospital Universitário Oswaldo Cruz / UPE;
Preceptora de graduação e pós-graduação da FCM - Faculdade de Ciências Médicas / UPE;
Mestre pela UPE;
Doutoranda em medicina translacional pela UNIFESP."
"Christiane Violet
(Oncologista)","Ex residente de oncologia clinica do INCA
Oncologista clinico da Onkos
Presidente e voluntária do Instituto Cristina Tavares    
Mãe de Pedro, Luísa e Júlia                                                                                                                                                       
Avó de Fernanda"
"Débora  
(Enfermeira) ",
"Diogo Sales
(Oncologista Clinico)","Oncologista clinico Rede Americas, IMIP, HBL
PhD pela Unifesp"
