SEXTA-FEIRA - 16 de outubro de 2026,,,,,,,,,,,,,,,,,,,,,
8:00,ABERTURA,,,,,,,,,,,,,,,,,,,,
"Mesa 1 – Multidisciplinariedade em tumores Gastrointestinais 
Presidente: Rossano Araújo (Oncologista) 
Moderadores: Tainã Reis (Nutricionista) , Amanda Marquim(Enfermeira), Edite Magalhães (Nutróloga) ",,,,,,,,,,,,,,,,,,,,,
"08:15 - 08:25
(10 min) ","Sarcopenia e caquexia, da triagem ao plano nutricional ","Marcella Campos 
(Nutricionista) ",,,,,,,,,,,,,,,,,,,
"08:25 - 08:35
(10 min) ","Câncer, metabolismo e novas drogas: obesidade, diabetes e GLP-1 no paciente oncológico”","Thaís Gelenske
(Endocrinologista) ",,,,,,,,,,,,,,,,,,,
"08:35 - 08:45
(10 min) ",A importância da atividade física no tratamento oncológico,"Paulo Carvalho 
(Preparador físico)",,,,,,,,,,,,,,,,,,,
"08:45 - 08:55
(10  min) ","Navegação em tumores GI: barreiras, adesão e continuidade do cuidado","Débora  
(Enfermeira) ",,,,,,,,,,,,,,,,,,,
"08:55 - 09:05
(10 min) ",Microbioma no câncer GI: evidência atual e limites para aplicação clínica,"Cristiana Tavares 
(Oncologista)",,,,,,,,,,,,,,,,,,,
"09:05 - 09:20
(15 min)",DISCUSSÃO ,,,,,,,,,,,,,,,,,,,,
"Mesa 2 – ESÔFAGO E  ESTÔMAGO - DOENÇA LOCALIZADA 
Presidente: Omar  Jacobina (Cirurgião) 
Moderadores: Italo Cruz  (Radiologista), Tien Chang (Pet) 
",,,,,,,,,,,,,,,,,,,,,
"09:30 - 09:40
(10 min) ",Biomarcadores no câncer gástrico : quais resultados podem mudar a estratégia?,Gustavo Ferreira (Patologista) ,,,,,,,,,,,,,,,,,,,
"09:40 - 09:50
(10 min) ","Cirurgia ou preservação de órgão no CEC de esôfago: seleção, vigilância e resgate","Flávio Fernandes 
(Cirurgião abdominal) ",,,,,,,,,,,,,,,,,,,
"09:50 - 10:00
(10 min)",Imunoterapia no câncer gástrico e de junção ressecável: evidências e seleção de pacientes,"Nildevande Firmino 
(Oncologista Clínico)",,,,,,,,,,,,,,,,,,,
"10:00 - 10:15
(15 min) ",DISCUSSÃO ,,,,,,,,,,,,,,,,,,,,
