SÁBADO -  17 de outubro de 2026,,,,,,,,
"Mesa 6 – Câncer colorretal – diagnóstico e patologia 
Presidente: Eriberto Marques (Oncologista)
Moderadores: Thales Batista (Cirugião), Artur Lima (Oncologista),  Rafael Caires (Oncologista)",,,,,,,,
"08:30 - 08:40
(10 min) ",Cólon localmente avançado: cirurgia inicial ou neoadjuvância?,"Joyce Cavalcanti
(Coloproctologista)  ",,,,,,
"08:40 - 08:50
(10 min) ",Imunoterapia no câncer de cólon: onde se encaixa em cada estágio?,"Luis Felipe
(Oncologista) ",,,,,,
"08:50 - 09:00
(10 min) ",Alvos moleculares no câncer colorretal: do resultado do teste à escolha terapêutica,"Murilo Araújo 
(Oncologista)",,,,,,
"09:00 - 09:15 
(15 min) ",DISCUSSÃO ,,,,,,,
"09:15 - 09:45
(30 min) ",SIMPOSIO SATÉLITE - Daiichi ,"Rodrigo Arruda 
(Oncologista) ",,,,,,
"Mesa 7 – Câncer de reto
Presidente: Christiane Violet (Oncologista)
Moderadores: Phabllo Rodrigo (Cirurgião), João Mangueira (Oncologista), Beatriz Cavalcanti (Cirurgiã) ",,,,,,,,
"09:55 - 10:05
(10 min) ",Impacto da radiologia na avaliação de resposta ao tratamento ,"Nadja Rolim 
(Radiologista)",,,,,,
"10:05 - 10:15
(10 min) ",Terapia neoadjuvante e imunoterapia - Como estamos ?,"Thiago Apolinário
(Oncologista) ",,,,,,
"10:15 - 10:25
(10 min) ",Seguimento do paciente após Watch and Wait: como conduzir? ,"Samara Duarte
(Coloproctologista)",,,,,,
"10:25 - 10:35
(10 min) ",Ressecção multi visceral no câncer de reto : indicações e limites ,"Pedro Paulo
(Cirurgião)",,,,,,
"10:35 - 10:50
(15 min) ",DISCUSSÃO ,,,,,,,
"10:50 - 11:10
(20 min) ",COFFEE BREAK ,,,,,,,
"Mesa 8 – Metástase hepáticas e câncer de vias biliares
Presidente: Olival Lucena (Cirurgiao Oncologico)  
Moderadores:  Américo Gusmão (Cirurgião), Ricardo Machado (PET), Bernardo Domingues 
",,,,,,,,
"11:20 - 11:30
(10 min) ",Atualização em colangio carcinoma: imunoterapia e oncodrivers,"Eduardo Inojosa 
(Oncologista)",,,,,,
"11:30 - 11:40
(10 min) ",Preservação de parenquima hepático nas cirurgias para metástases hepáticas - o que há de novo ,"Simone Fumolaro - IT
(Cirugiao Hepatobiliar)
*Online*",,,,,,
"11:40 - 11:50
(10 min) ",Estratégias não cirurgicas no tratamento local metástases hepaticas ,"João Paulo Ayub
(Radiologista) ",,,,,,
"11:50 - 12:05
(15 min) ",DISCUSSÃO ,,,,,,,
"12:05 - 12:25
(20 min) ",CONFERÊNCIA - Transplante Hepático Robótico: a Nova Fronteira da Cirurgia Minimamente Invasiva?,"Rafael Fontolan 
(Cirurgião) 
",,,,,,
12:30,Encerramento ,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
